hanzi,pinyin,definition,example_sentence,difficulty
动作,dòng zuò,movement; motion; action; CL:个,我教你跳舞吧，动作很简单。,Medium
堵车,dǔ chē,traffic jam; choking,我在路上，又堵车了。,Medium
肚子,dù zi,belly; abdomen; stomach; CL:个,我肚子疼。,Medium
短信,duǎn xìn,text message; SMS,有事儿请给我发短信或者打电话。,Medium
对话,duì huà,dialog; CL:个,这个对话比较简单，我能听懂。,Medium
对面,duì miàn,opposite,我就住在学校对面。,Medium
对于,duì yú,regarding; as far as sth is concerned; with regards to,...,Medium
儿童,ér tóng,child; CL:个,身高一米二以下的孩子，可以买儿童票。,Medium
而,ér,yet (not); and; as well as; and so; but (not); (indicates causal relation); (indicates change of state); (indicates contrast),弟弟不但很聪明，而且很爱学习。,Medium
发生,fā shēng,to happen; to occur; to take place; to break out,情况发生了很大的变化。,Medium
发展,fā zhǎn,development; growth; to develop; to grow; to expand,随着经济的发展，人们的生活有了很大的提,Medium
法律,fǎ lv4,"law; CL:条[tiao2] , 套[tao4] , 个",我在大学学习法律专业。,Medium
翻译,fān yì,"to translate; to interpret; translator; interpreter; translation; interpretation; CL:个,位[wei4] ,名[ming2]",请把这篇文章翻译成汉语。,Medium
烦恼,fán nǎo,agonize; agony; annoyance; upset; vexation; worries,别再为这件事儿烦恼了。,Medium
反对,fǎn duì,to fight against; to oppose; to be opposed to; opposition,这个计划大家都反对。,Medium
方法,fāng fǎ,method; way; means; CL:个,我们一定能找到解决问题的方法。,Medium
方面,fāng miàn,respect; aspect; field; side; CL:个,爸爸喜欢看历史方面的书。,Medium
方向,fāng xiàng,direction; orientation; path to follow; CL:个,是这个方向吗？我觉得我们迷路了。,Medium
房东,fáng dōng,landlord,我的房东很友好，经常帮助我。,Medium
放弃,fàng qì,to renounce; to abandon; to give up,虽然经历过很多次失败，但我从来没有放弃,Medium
放暑假,fàng shǔ jià,take summer vacation,明天就要放暑假了。,Medium
放松,fàng sōng,to loosen; to relax,考试结束了，我们需要放松一下。,Medium
份,fèn,"part; share; portion; copy; classifier for gifts, newspaper, magazine, papers, reports, contracts etc",我很羡慕他有一份好工作。,Medium
丰富,fēng fù,rich; plentiful; abundant,他在工作中积累了丰富的经验。,Medium
否则,fǒu zé,if not; otherwise; else; or else,我们现在出发吧，否则会迟到的。,Medium
符合,fú hé,in keeping with; in accordance with; tallying with; in line with; to agree with; to accord with; to conform to; to correspond with; to manage; to handle,这个做法不符合我们的要求。,Medium
付款,fù kuǎn,pay; payment,购物可以在网上付款。,Medium
复印,fù yìn,to photocopy; to duplicate a document,这份材料，请再复印两份。,Medium
复杂,fù zá,complicated; complex,这是一个复杂的技术问题。,Medium
富,fù,rich; surname Fu,他在工作中积累了丰富的经验。,Medium
父亲,fù qīn,father; also pr. with light tone [fu4 qin5]; CL:个,我父亲今年八十三岁了。,Medium
负责,fù zé,to be in charge of; to take responsibility for; to be to blame; conscientious,家里一切的事情，都是妈妈负责。,Medium
改变,gǎi biàn,to change; to alter; to transform,城市已经发生了很大的改变。,Medium
干杯,gān bēi,to drink a toast; Cheers! (proposing a toast); Here's to you!; Bottoms up!; lit. dry cup,祝大家节日快乐，干杯！,Medium
感动,gǎn dòng,to move (sb); to touch (sb emotionally); moving,这个电影我看了很感动。,Medium
感觉,gǎn jué,to feel; to become aware of; feeling; sense; perception; CL:个,我感觉今天有点儿冷。,Medium
感情,gǎn qíng,"feeling; emotion; sensation; likes and dislikes; deep affection for sb or sth; relationship (i.e. love affair); CL:个,种[zhong3]",他的表演感情非常丰富。,Medium
感谢,gǎn xiè,(express) thanks; gratitude; grateful; thankful; thanks,请向他表示感谢。,Medium
敢,gǎn,to dare; daring; (polite) may I venture,哥哥是一个很勇敢的人。,Medium
赶,gǎn ,to overtake; to catch up with; to hurry; to rush; to try to catch (the bus etc); to drive (cattle etc) forward; to drive (sb) away; to avail oneself of (an opportunity); until; ,快点儿，我们要赶不上火车了。,Medium
干,gàn,to do (some work); to manage; to work,我买了饼干，吃点儿吧。,Medium
刚,gāng ,just; barely; exactly; hard; firm; strong,他刚才说的才是问题的重点。,Medium
高速公路,gāo sù gōng lù,expressway; highway; freeway,这里新修了一条高速公路。,Medium
胳膊,gē bo,"arm; CL:只[zhi1] ,条[tiao2] ,双[shuang1]",...,Medium
各,gè,each; every,各位顾客，欢迎您乘坐我们的航班。,Medium
公里,gōng lǐ,kilometer,这两个城市之间的距离有 300公里。,Medium
功夫,gōng fu,skill; art; kung fu; labor; effort,我最近在学习中国功夫。,Medium
工资,gōng zī,"wages; pay; CL:个,份[fen4] ,月[yue4]",他的新工作工资很高。,Medium
共同,gòng tóng,common; joint; jointly; together; collaborative,...,Medium
够,gòu,to reach; to be enough,今天够冷的。,Medium
购物,gòu wù,shopping,现在人们喜欢在网上购物。,Medium
估计,gū jì,to estimate; to reckon; CL:个,我估计他们已经到了机场了。,Medium
鼓励,gǔ lì,to encourage,老师鼓励我继续努力，不要放弃。,Medium
故意,gù yì,deliberately; on purpose,对不起，我不是故意的。,Medium
顾客,gù kè,client; customer; CL:位[wei4],我刚做了一个顾客满意度调查。,Medium
挂,guà,to hang or suspend (from a hook etc); (of a telephone call) to hang up; to be worried or concerned; to make a phone call (topolect); to register or record; to hitch; classifier for sets or clusters of objects,请先别挂电话。,Medium
关键,guān jiàn,crucial point; crux; CL:个; key; crucial; pivotal,这不是问题的关键。,Medium
观众,guān zhòng,spectators; audience; visitors (to an exhibition etc),电视机前的观众朋友们，大家好。,Medium
管理,guǎn lǐ,to supervise; to manage; to administer; management; administration; CL:个,早上打开窗户，太阳管理照了进来。,Medium
光,guāng,light (ray); light; ray; CL:道[dao4]; bright; only; merely; to use up,学游泳光看是不行的，要练习。,Medium
广播,guǎng bō,broadcast; widely spread; CL:个,爷爷正在听广播。,Medium
广告,guǎng gào,to advertise; a commercial; advertisement; CL:项[xiang4],我在报纸上看到了你们的广告。,Medium
逛,guàng,to stroll; to visit,...,Medium
规定,guī dìng,to stipulate; to fix; to set; to formulate; to provide; regulation; rule; CL:个,...,Medium
国籍,guó jí,nationality,...,Medium
国际,guó jì,international,...,Medium
果汁,guǒ zhī,fruit juice,...,Medium
过程,guò chéng,course of events; process; CL:个,...,Medium
海洋,hǎi yáng,ocean; CL:个,地球上 70%的面积是海洋。,Medium
害羞,hài xiū,blush; shy,...,Medium
寒假,hán jià,winter vacation,...,Medium
汗,hàn,"perspiration; sweat; Khan (Persian or Mongol king or emperor); Khan (name); to be speechless (out of helplessness, embarrassment etc) (Internet slang used as an interjection); CL:滴[di1] ,头[tou2] ,身[shen1]",热了吧，用毛巾擦擦汗吧。,Medium
航班,háng bān,scheduled flight; flight number; plane; scheduled sailing; sailing number; passenger ship,欢迎您乘坐本次航班。,Medium
好处,hǎo chu,benefit; advantage; gain; profit; also pronounced hao3 chu4; CL:个,...,Medium
好像,hǎo xiàng,as if; to seem like,十年不见，他好像没什么变化。,Medium
号码,hào mǎ,"number; CL:堆[dui1] ,个",...,Medium
合格,hé gé,qualified; meeting a standard; eligible (voter),...,Medium
合适,hé shì,suitable; fitting; decent; to fit,...,Medium
盒子,hé zi,box,请把这些盒子按照从大到小的顺序排列。,Medium
厚,hòu,thick; deep or profound; kind; generous; rich or strong in flavor; to favor; to stress,...,Medium
后悔,hòu huǐ,to regret; to repent,...,Medium
互联网,hù lián wǎng,the Internet,互联网给人们的生活带来了很多方便。,Medium
互相,hù xiāng,each other; mutually; mutual,我们两个要互相支持。,Medium
护士,hù shi,nurse; CL:个,护士正在给病人打针。,Medium
怀疑,huái yí,to suspect; to doubt; doubt; suspicion; skeptical,我怀疑他忘了今天要开会。,Medium
回忆,huí yì,to recall; recollection; CL:个,大学生活给我们留下了美好的回忆。,Medium
活动,huó dòng,"to exercise; to move about; to operate; activity; loose; shaky; active; movable; maneuver; to use connections; CL:项[xiang4] ,个",这个活动由我们来举办。,Medium
活泼,huó po,lively; vivacious; brisk; active,森林着活泼了。,Medium
火,huǒ,fire; CL:把[ba3],快点儿，我们要赶不上火车了。,Medium
获得,huò dé,to obtain; to receive; to get,因为努力学习，他获得了理想的成绩。,Medium
基础,jī chǔ,base; foundation; basis; underlying; CL:个,请在原来的基础上再改一改。,Medium
激动,jī dòng,to excite; to agitate; exciting,看了这部电影，我很激动。,Medium
积极,jī jí,active; energetic; vigorous; positive (outlook); proactive,...,Medium
积累,jī lěi,to accumulate; accumulation; cumulative; cumulatively,他在工作中积累了丰富的经验。,Medium
即使,jí shǐ,even if; even though; given that,即使遇到了困难也不要放弃。,Medium
及时,jí shí,in time; promptly; without delay; timely,这场雨下得很及时。,Medium
寄,jì,to live (in a house); to lodge; to mail; to send; to entrust; to depend,你的信已经寄到。,Medium
技术,jì shù,"technology; technique; skill; CL:门[men2] ,种[zhong3] ,项[xiang4]",这是一个复杂的技术问题。,Medium
既然,jì rán,since; as; this being the case,...,Medium
继续,jì xù,to continue; to proceed with; to go on with,老师鼓励我继续努力，不要放弃。,Medium
计划,jì huà,"plan; project; program; to plan; to map out; CL:个,项[xiang4]",她做的计划非常详细。,Medium
记者,jì zhě,reporter; journalist; CL:个,...,Medium
加班,jiā bān,to work overtime,这个星期，我们几乎每天都加班。,Medium
加油站,jiā yóu zhàn,gas station,你家附近有加油站吗？,Medium
家具,jiā jù,"furniture; CL:件[jian4] ,套[tao4]",搬家后我们换了新家具。,Medium
假,jiǎ,fake; false; artificial; to borrow; if; suppose,明天就要放暑假了。,Medium
价格,jià gé,price; CL:个,从去年开始，汽车的价格在降低。,Medium
坚持,jiān chí,to continue upholding; to remain committed to; persistence; to persist; to uphold; to insist on; persevere,他一直坚持自己的看法。,Medium
减肥,jiǎn féi,to lose weight,我每天跑步减肥。,Medium
减少,jiǎn shǎo,to lessen; to decrease; to reduce; to lower,顾客减少了三分之一。,Medium
建议,jiàn yì,"to propose; to suggest; to recommend; proposal; suggestion; recommendation; CL:个,点[dian3]",我建议明天休息一天。,Medium
将来,jiāng lái,in the future; future; the future; CL:个,将来你打算做什么工作？,Medium
奖金,jiǎng jīn,award money; premium; a bonus,我们年底发了一笔奖金。,Medium
降低,jiàng dī,to reduce; to lower; to bring down,从去年开始，汽车的价格在降低。,Medium
降落,jiàng luò,to descend; to land,飞机马上就要降落了。,Medium
交,jiāo,to hand over; to deliver; to pay (money); to turn over; to make friends; to intersect (lines),我已经把材料交给经理了。,Medium
交流,jiāo liú,exchange; give-and-take; to exchange; to alternate; communication; alternating current (electricity),国家之间的文化交流越来越丰富。,Medium
交通,jiāo tōng,traffic; communications; liaison; to be connected,...,Medium
郊区,jiāo qū,suburban district; outskirts; suburbs; CL:个,...,Medium
骄傲,jiāo ào,arrogant; full of oneself; conceited; proud of sth; CL:个,获得了成功也不能太骄傲。,Medium
饺子,jiǎo zi,"dumpling; pot-sticker; CL:个,只[zhi1]",中国人过春节要吃饺子。,Medium
教授,jiào shòu,"professor; to instruct; to lecture on; CL:个,位[wei4]",他是一位大学教授。,Medium
教育,jiào yù,to educate; to teach; education,爸爸经常教育我要做一个诚实的人。,Medium
接受,jiē shòu,to accept; to receive,你的意见我都接受。,Medium
接着,jiē zhe,to catch and hold on; to continue; to go on to do sth; to follow; to carry on; then; after that; subsequently; to proceed; to ensue; in turn; in one's turn,他看了看表，躺下接着睡觉。,Medium
结果,jié guǒ,result; outcome; effect; in the event; so that,你看比赛了吗，结果怎么样？,Medium
节,jié,"festival; holiday; node; joint; section; segment; part; to economize; to save; to abridge; moral integrity; classifier for segments, e.g. lessons, train wagons, biblical verses; CL:个",时间过得真快，要过春节了。,Medium
节约,jié yuē,to economize; to conserve (resources); economy; frugal,请节约用水。,Medium
解释,jiě shì,explanation; to explain; to interpret; to resolve; CL:个,请允许我对这件事做个解释。,Medium
尽管,jǐn guǎn,"despite; although; even though; in spite of; unhesitatingly; do not hesitate (to ask, complain etc); (go ahead and do it) without hesitating",尽管我认识他很久了，但是并不了解。,Medium
紧张,jǐn zhāng,nervous; keyed up; intense; tense; strained; in short supply; scarce; CL:阵[zhen4],我有很多话要说，可是一紧张却说不出来了。,Medium
禁止,jìn zhǐ,to prohibit; to forbid; to ban,...,Medium
进行,jìn xíng,to advance; to conduct; underway; in progress; to do; to carry out; to carry on; to execute,比赛进行得很顺利。,Medium
京剧,jīng jù,"Beijing opera; CL:场[chang3] ,出[chu1]",她是一位著名的京剧演员。,Medium
精彩,jīng cǎi,splendid; brilliant,这篇文章的内容非常精彩。,Medium
经济,jīng jì,economy; economic,随着经济的发展，人们的生活有了很大的提,Medium
经历,jīng lì,"experience; to experience; to go through; CL:个, 次[Ci4]",这段时间，我经历了很多事情。,Medium
经验,jīng yàn,to experience; experience,请为我们总结您的成功经验。,Medium
景色,jǐng sè,scenery; scene; landscape; view,日落的时候，海边的景色很美。,Medium
警察,jǐng chá,police; policeman; policewoman; CL:个,警察正在进行调查。,Medium
竞争,jìng zhēng,to compete; competition,他很自信，喜欢与人竞争。,Medium
竟然,jìng rán,unexpectedly; to one's surprise; in spite of everything; in that crazy way; actually; to go as far as to,我完全没想到他竟然是这样的人。,Medium
镜子,jìng zi,"mirror; CL:面[mian4] ,个",对不起，我把镜子打破了。,Medium
究竟,jiū jìng,after all (when all is said and done); actually; outcome; result,你究竟为什么哭呢？,Medium
举,jǔ,to lift; to hold up; to cite; to enumerate; to act; to raise; to choose; to elect,这个活动由我们来举办。,Medium
举办,jǔ bàn,to conduct; to hold,这个活动由我们来举办。,Medium
举行,jǔ xíng,"to hold (a meeting, ceremony etc)",会议两点钟举行。,Medium
拒绝,jù jué,to refuse; to decline; to reject,他拒绝了大家的邀请。,Medium
聚会,jù huì,party; gathering; to meet; to get together,明天有个聚会，你想参加吗？,Medium
距离,jù lí,distance; to be apart; CL:个,我家距离公司很远。,Medium
开玩笑,kāi wán xiào,to play a joke; to make fun of; to joke,你是在开玩笑吧？,Medium
开心,kāi xīn,to feel happy; to rejoice; to have a great time; to make fun of sb,妹妹开心地笑了。,Medium
看法,kàn fǎ,way of looking at a thing; view; opinion; CL:个,他一直坚持自己的看法。,Medium
烤鸭,kǎo yā,roast duck,...,Medium
考虑,kǎo lv4,to think over; to consider; consideration,我会认真考虑一下这个问题。,Medium
棵,kē,"classifier for trees, cabbages, plants etc",这棵树又高又大。,Medium
科学,kē xué,"science; scientific knowledge; scientific; CL:门[men2] ,个,种[zhong3]",他在学校里学习了很多科学知识。,Medium
咳嗽,ké sou,to cough; CL:阵[zhen4],他感冒了，咳嗽得很厉害。,Medium
可怜,kě lián,pitiful; pathetic,这个小孩儿找不到家了，真可怜。,Medium
可是,kě shì,but; however,我有很多话要说，可是一紧张却说不出来了。,Medium
可惜,kě xī,it is a pity; what a pity; (it's) too bad,你不能来参加我们的聚会太可惜了。,Medium
客厅,kè tīng,drawing room (room for arriving guests); living room; CL:间[jian1],爸爸正在客厅看电视呢。,Medium
肯定,kěn dìng,to be sure; to be certain; sure; certain; definite; to confirm; to affirm; affirmative,我五点以前肯定会回来。,Medium
空,kōng ,to empty; vacant; unoccupied; space; leisure; free time; ,这是一道填空题。,Medium
空气,kōng qì,air; atmosphere,公园里空气非常新鲜。,Medium
恐怕,kǒng pà,to fear; to dread; I'm afraid that...; perhaps; maybe,恐怕要下雨了，你带伞了吗？,Medium
苦,kǔ,bitter; hardship; pain; to suffer; painstaking,爸爸的工作很辛苦。,Medium
矿泉水,kuàng quán shuǐ,"mineral spring water; CL:瓶[ping2] ,杯[bei1]",我买了两瓶矿泉水。,Medium
困,kùn,to be trapped; to surround; to be hard-pressed; stranded; destitute,工作中，我们遇到了很多困难。,Medium
困难,kùn nan,(financial etc) difficulty; problem; issue; CL:个,真正的朋友会在你遇到困难的时候帮助你。,Medium
垃圾桶,lā jī tǒng,rubbish bin,请把垃圾扔到垃圾桶里。,Medium
拉,lā,to pull; to play (string instruments); to drag; to draw,妈妈拉着女儿的手。,Medium
辣,là,hot (spicy); pungent,我不习惯吃太辣的菜。,Medium
来不及,lái bu jí,there's not enough time (to do sth); it's too late (to do sth),我今天早上起晚了，来不及吃早饭了。,Medium
来得及,lái de jí,there's still time; able to do sth in time,电影九点半才开始，还来得及。,Medium
来自,lái zì,to come from (a place); From: (in email header),我来自山东省。,Medium
懒,lǎn,lazy,我家的小猫很懒，一个下午都在睡觉。,Medium
浪费,làng fèi,to waste; to squander,这样做只是浪费时间。,Medium
浪漫,làng màn,romantic,这本书讲了一个浪漫的爱情故事。,Medium
老虎,lǎo hǔ,tiger; CL:只[zhi1],每次去动物园，儿子最喜欢看的就是老虎。,Medium
冷静,lěng jìng,calm; cool-headed,你别激动，先冷静一下。,Medium
理发,lǐ fà,a barber; hairdressing,你什么时候去理发？,Medium
理解,lǐ jiě,to comprehend; to understand; comprehension; understanding,这个问题你能理解了吗？,Medium
理想,lǐ xiǎng,a dream; an ideal; perfection; ideal; perfect; desirable; CL:个,因为努力学习，他获得了理想的成绩。,Medium
礼拜天,lǐ bài tiān,Sunday,这个礼拜天，你有空吗？,Medium
礼貌,lǐ mào,courtesy; manners,随便问别人的年龄是不礼貌的。,Medium
例如,lì rú,for example; for instance; such as,...,Medium
力气,lì qi,strength; CL:把[ba3],走了这么多路，我累得一点儿力气都没有了。,Medium
厉害,lì hai,difficult to deal with; difficult to endure; ferocious; radical; serious; terrible; violent; tremendous; awesome,他病得很厉害，住院了。,Medium
俩,liǎ,two (colloquial equivalent of 两个); both; some,我们俩是好朋友。,Medium
联系,lián xì,connection; contact; relation; in touch with; to integrate; to link; to touch,你和大学同学还有联系吗？,Medium
连,lián,"to link; to join; to connect; continuously; in succession; including; (used with 也, 都 etc) even; company (military)",我连着打了几次，他的电话都占线。,Medium
凉快,liáng kuai,nice and cold; pleasantly cool,秋天的天气很凉快。,Medium
零钱,líng qián,change (of money); small change; pocket money,您可以帮我换一些零钱吗？,Medium
另外,lìng wài,additional; in addition; besides; separate; other; moreover; furthermore,我还要跟你谈另外一件事情。,Medium
流利,liú lì,fluent,你的汉语说得很流利。,Medium
流行,liú xíng,to spread; to rage (of contagious disease); popular; fashionable; prevalent; (math.) manifold,很多年轻人都喜欢流行音乐。,Medium
留,liú,to retain; to stay; to remain; to keep; to preserve; to leave (eg a message),雨下得太大了，我们只好留在家里。,Medium
旅行,lǚ xíng ,"to travel; journey; trip; CL:趟[tang4],次[ci4],個|个[ge4]; ",她把旅行的经历写成了文章。,Medium
乱,luàn,in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary,请不要把顺序弄乱了。,Medium
律师,lv4 shī,lawyer,我的妈妈是一名律师。,Medium
麻烦,má fan,inconvenient; troublesome; to trouble or bother sb; to put sb to trouble,这件事儿很麻烦，我们需要你的帮助。,Medium
马虎,mǎ hu,careless; sloppy; negligent; skimpy,做事要认真，不能这么马虎。,Medium
