hanzi,pinyin,definition,example_sentence,difficulty
报道,bào dào,"report; to report (new); CL:篇[pian1] ,份[fen4]",这篇报道是我写的。,Hard
报告,bào gào,"to inform; report; make known; speech; talk; lecture; CL:篇[pian1] ,份[fen4] ,个,通[tong4]",请按照要求把报告改一下。,Hard
报社,bào shè,general office of a newspaper; newspaper office; CL:家[jia1],...,Hard
抱怨,bào yuàn,to complain; to grumble,...,Hard
悲观,bēi guān,pessimistic,...,Hard
背,bèi,the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory,...,Hard
背景,bèi jǐng,background; backdrop; context; CL:种[zhong3],...,Hard
被子,bèi zi,quilt; CL:床[chuang2],...,Hard
本科,běn kē,undergraduate course; undergraduate (adjective),...,Hard
本领,běn lǐng,"skill; ability; capability; CL:项[xiang4] ,个",...,Hard
本质,běn zhì,essence; nature; innate character; intrinsic quality,...,Hard
彼此,bǐ cǐ,each other; one another,...,Hard
比例,bǐ lì,proportion; scale,...,Hard
必然,bì rán,inevitable; certain; necessity,...,Hard
必要,bì yào,necessary; essential; indispensable; required,...,Hard
毕竟,bì jìng,after all; all in all; when all is said and done; in the final analysis,...,Hard
避免,bì miǎn,to avert; to prevent; to avoid; to refrain from,...,Hard
编辑,biān jí,to edit; to compile; editor; compiler,...,Hard
鞭炮,biān pào,firecrackers; a string of small firecrackers; CL:枚[mei2],...,Hard
便,biàn,convenient; as convenient; ordinary; plain; when the chance arises; handy; easy; informal; simple; so; thus; to relieve oneself; to urinate; to defecate; equivalent to 就: then; in that case; even if; soon afterwards,...,Hard
辩论,biàn lùn,"debate; argument; to argue over; CL:场[chang3] ,次[ci4]",...,Hard
标点,biāo diǎn,punctuation; a punctuation mark; to punctuate; CL:个,...,Hard
标志,biāo zhì,sign; mark; symbol; symbolize; to indicate; to mark,...,Hard
表达,biǎo dá,to voice (an opinion); to express; to convey,语言是表达思想的工具。,Hard
表面,biǎo miàn,surface; face; outside; appearance,...,Hard
表明,biǎo míng,to make clear; to make known; to state clearly; to indicate; known,...,Hard
表情,biǎo qíng,(facial) expression; to express one's feelings; expression,...,Hard
表现,biǎo xiàn,to show; to show off; to display; to manifest; expression; manifestation; show; display; performance (at work etc),...,Hard
冰激凌,bīng jī líng ,ice cream; ,...,Hard
病毒,bìng dú,virus,...,Hard
播放,bō fàng,to broadcast; to transmit,...,Hard
玻璃,bō li,"glass; nylon; plastic; CL:张[zhang1] ,块[kuai4]",...,Hard
博物馆,bó wù guǎn,museum,...,Hard
脖子,bó zi,neck; CL:个,...,Hard
不断,bú duàn,unceasing; uninterrupted; continuous; constant,这几个月来，顾客的数量在不断增加。,Hard
不见得,bú jiàn de,not necessarily; not likely,...,Hard
不耐烦,bú nài fán,impatience; impatient,...,Hard
不要紧,bú yào jǐn,unimportant; not serious; it doesn't matter; never mind; it looks all right; but,...,Hard
补充,bǔ chōng,to replenish; to supplement; to complement; additional; supplementary; CL:个,...,Hard
不安,bù ān,unpeaceful; unstable; uneasy; disturbed; restless; worried,...,Hard
不得了,bù dé liǎo,disastrous; desperately serious; extremely; exceedingly,...,Hard
不然,bù rán,not so; no; or else; otherwise; if not,...,Hard
不如,bù rú,not equal to; not as good as; inferior to; it would be better to,...,Hard
不足,bù zú,insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not,...,Hard
布,bù,cloth; to declare; to announce; to spread; to make known,...,Hard
步骤,bù zhòu,step; move; measure,...,Hard
部门,bù mén,department; branch; section; division; CL:个,...,Hard
财产,cái chǎn,property; assets; estate; CL:笔[bi3],...,Hard
彩虹,cǎi hóng,rainbow,...,Hard
踩,cǎi,to step on; to tread; to stamp; to press a pedal; to pedal (a bike),...,Hard
采访,cǎi fǎng,to interview; to gather news; to hunt for and collect; to cover,...,Hard
采取,cǎi qǔ,"to adopt or carry out (measures, policies, course of action); to take",...,Hard
参考,cān kǎo,reference; to consult; to refer; consultation,...,Hard
参与,cān yù,to participate (in sth),...,Hard
惭愧,cán kuì,ashamed; be ashamed,...,Hard
操场,cāo chǎng,playground; sports field; drill ground; CL:个,...,Hard
操心,cāo xīn,to worry about,...,Hard
册,cè,booklet; book; classifier for books,...,Hard
测验,cè yàn,"test; to test; CL:次[ci4] ,个",...,Hard
曾经,céng jīng,once; already; former; previously; ever; (past tense marker used before verb or clause),...,Hard
叉子,chā zi,fork; CL:把[ba3],...,Hard
差距,chā jù,disparity; gap,...,Hard
插,chā,to insert; stick in; pierce; to take part in; to interfere; to interpose,...,Hard
拆,chāi,to tear open; to tear down; to tear apart; to open,...,Hard
产品,chǎn pǐn,goods; merchandise; product; CL:个,...,Hard
产生,chǎn shēng,to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate; to appear; appearance; emergence; generation; production; yield,...,Hard
常识,cháng shí,common sense; general knowledge; CL:门[men2],...,Hard
长途,cháng tú,long distance,...,Hard
抄,chāo,to copy; to plagiarize; to search and seize; to go; to transcribe; to take a shortcut; to search and confiscate,...,Hard
超级,chāo jí,transcending; high grade; super-; ultra-,...,Hard
朝,cháo,imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards,...,Hard
潮湿,cháo shī,moist; damp,...,Hard
吵,chǎo,to make a noise; noisy; to disturb by making a noise,这里太吵了，真让人受不了。,Hard
吵架,chǎo jià,to quarrel; to have a row; CL:顿[dun4],...,Hard
炒,chǎo,pan-fry; to fry; fried; sauté,...,Hard
车库,chē kù,garage,...,Hard
车厢,chē xiāng,carriage; CL:节[jie2],...,Hard
彻底,chè dǐ,thorough; thoroughly; complete,...,Hard
沉默,chén mò,taciturn; silent; uncommunicative,...,Hard
趁,chèn,to avail oneself of; to take advantage of,...,Hard
称,chēng,to weigh; to state; to name; name; appellation; to praise,...,Hard
称呼,chēng hu,to call; to address as; appellation,...,Hard
称赞,chēng zàn,to praise; to acclaim; to commend; to compliment,...,Hard
成分,chéng fèn,composition; make-up; ingredient; element; component; one's social status; CL:个,...,Hard
成果,chéng guǒ,result; achievement; gain; profit; CL:个,...,Hard
成就,chéng jiù,accomplishment; success; attain a result; achievement; CL:个,...,Hard
成立,chéng lì,to establish; to set up; to be tenable; to hold water,...,Hard
成人,chéng rén ,adult; ,...,Hard
成熟,chéng shú,mature; ripe,...,Hard
成语,chéng yǔ,"Chinese set expression of 4 characters or two couplets of 4 characters each: expression often alluding to a story or historical quotation; idiom; proverb; saying; adage; set expression; CL:条[tiao2] ,本[ben3] ,句[ju4]",...,Hard
成长,chéng zhǎng,to mature; to grow; growth,...,Hard
承担,chéng dān,to undertake; to assume (responsibility etc),...,Hard
承认,chéng rèn,"to admit; to concede; to recognize; recognition (diplomatic, artistic etc); to acknowledge",...,Hard
承受,chéng shòu,to bear; to support; to inherit,...,Hard
程度,chéng dù,degree (level or extent); level; CL:个,...,Hard
程序,chéng xù,procedures; sequence; order; computer program,...,Hard
诚恳,chéng kěn,sincere; honest; cordial,...,Hard
吃亏,chī kuī,to suffer losses; to come to grief; to lose out; to get the worst of it; to be at a disadvantage; unfortunately,...,Hard
持续,chí xù,to continue; to persist; sustainable; preservation,...,Hard
池塘,chí táng,pool; pond,...,Hard
迟早,chí zǎo ,sooner or later,...,Hard
尺子,chǐ zi,rule; ruler (measuring instrument); CL:把[ba3],...,Hard
翅膀,chì bǎng,"wing; CL:个,对[dui4]",...,Hard
充电器,chōng diàn qì,battery charger,...,Hard
充分,chōng fèn,full; abundant,...,Hard
充满,chōng mǎn,full of; brimming with; very full; permeated,...,Hard
冲,chōng,(of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with,...,Hard
重复,chóng fù,to repeat; to duplicate; CL:个,...,Hard
宠物,chǒng wù,house pet,...,Hard
抽屉,chōu ti,drawer,...,Hard
抽象,chōu xiàng,abstract,...,Hard
丑,chǒu,"clown; disgraceful; surname Chou; 2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February); year of the Ox",...,Hard
臭,chòu,stench; stink; smelly; to smell (bad),...,Hard
出版,chū bǎn,to publish; to come off the press; to put out,...,Hard
出口,chū kǒu,an exit; to speak; to export; (of a ship) to leave port; CL:个,...,Hard
出色,chū sè,remarkable; outstanding,...,Hard
出示,chū shì ,to show; to take out and show to others; to display; ,...,Hard
出席,chū xí,to attend; to participate; present,...,Hard
初级,chū jí,junior; primary,...,Hard
除非,chú fēi,"only if (..., or otherwise,...); only when; only in the case that; unless",...,Hard
除夕,chú xī,(New Year's) Eve,...,Hard
处理,chǔ lǐ,to handle; to treat; to deal with; to process; CL:个,因为有你帮忙，这件事情处理得很好。,Hard
传播,chuán bō,to propagate; to disseminate; to spread,...,Hard
传染,chuán rǎn,to infect; contagious,...,Hard
传说,chuán shuō,legend; folklore; tradition; it is said; they say that...,...,Hard
传统,chuán tǒng,tradition; traditional; convention; conventional; CL:个,...,Hard
窗帘,chuāng lián,window curtains,...,Hard
闯,chuǎng,to rush; to charge; to dash; to break through; to temper oneself (through battling hardships),...,Hard
创造,chuàng zào,to create; to bring about; to produce; CL:个,...,Hard
吹,chuī,to blow; to play a wind instrument; to blast; to puff; to boast; to brag; to end in failure; to fall through,...,Hard
词汇,cí huì,vocabulary; list of words (e.g. for language teaching purposes),...,Hard
辞职,cí zhí,to resign,...,Hard
此外,cǐ wài,besides; in addition; moreover; furthermore,...,Hard
刺激,cì jī,to irritate; to provoke; to upset; to stimulate; to excite; irritant,...,Hard
次要,cì yào,secondary,...,Hard
匆忙,cōng máng,hasty; hurried,...,Hard
从此,cóng cǐ,from now on; since then; henceforth,...,Hard
从而,cóng ér,thus; thereby,...,Hard
从前,cóng qián,previously; formerly; once upon a time,...,Hard
从事,cóng shì,to go for; to engage in; to undertake; to deal with; to handle; to do,...,Hard
粗糙,cū cāo ,crude; gruff; rough; coarse; ,...,Hard
促进,cù jìn,to promote (an idea or cause); to advance; boost,...,Hard
促使,cù shǐ,to induce; to promote; to urge; to impel; to bring about; to provoke; to drive (sb to do sth); to catalyze; to actuate; to contribute to (some development),...,Hard
醋,cù,vinegar; acid; jealousy (in love rivalry),...,Hard
催,cuī,to urge; to press; to prompt; to rush sb; to hasten sth; to expedite,...,Hard
存在,cún zài,to exist; to be,...,Hard
措施,cuò shī,measure; step (to be taken); CL:个,...,Hard
答应,dā ying,to agree; to promise; to reply; to respond,你既然答应了，就要把事情办好。,Hard
达到,dá dào,to reach; to achieve; to attain,...,Hard
打工,dǎ gōng,to have a part time job; to do manual work,...,Hard
打交道,dǎ jiāo dào,to come into contact with; to have dealings,...,Hard
打喷嚏,dǎ pēn tì,to sneeze,...,Hard
打听,dǎ ting,to ask about; to inquire about,...,Hard
大方,dà fāng,generous; tasteful; stylish; easy-mannered,...,Hard
大厦,dà shà,large building; edifice; mansion; CL:座[zuo4],...,Hard
大象,dà xiàng,elephant; CL:只[zhi1],...,Hard
大型,dà xíng,large scale; wide scale; broad scale,...,Hard
呆,dāi,foolish; stupid; expressionless; blank; to stay,...,Hard
代表,dài biǎo,"representative; delegate; to represent; to stand for; on behalf of; in the name of; CL:位[wei4],个, 名[ming2]",...,Hard
代替,dài tì,"instead; to replace; to substitute (X for Y, or a number in an algebraic expression)",...,Hard
待遇,dài yù,treatment; pay; wages; status; salary,...,Hard
贷款,dài kuǎn,a loan; to provide a loan (e.g. bank); CL:笔[bi3],...,Hard
单纯,dān chún,simple; pure; alone; merely,...,Hard
单调,dān diào,monotonous; uniform; unvarying,...,Hard
单独,dān dú,by oneself; alone; on one's own,...,Hard
单位,dān wèi,unit (to measure); work unit (one's workplace); group of people as a whole; CL:个,...,Hard
单元,dān yuán,unit (as an entity); element; entrance number,...,Hard
担任,dān rèn,to hold a governmental office or post; to assume office of; to take charge of; to serve as,...,Hard
耽误,dān wu,to delay; to hold-up; to waste time; to interfere with,...,Hard
胆小鬼,dǎn xiǎo guǐ,coward,...,Hard
淡,dàn,insipid; diluted; weak; mild; light in color; tasteless; fresh; indifferent; nitrogen,...,Hard
当地,dāng dì,local; in the locality,...,Hard
当心,dāng xīn,to take care; to look out,...,Hard
挡,dǎng,to resist; to obstruct; to hinder; to keep off; to block (a blow); to get in the way of; cover; gear,...,Hard
倒霉,dǎo méi,have bad luck; be out of luck,...,Hard
导演,dǎo yǎn,direct; director (film etc),...,Hard
导致,dǎo zhì,to lead to; to create; to cause; to bring about,...,Hard
岛屿,dǎo yǔ,island,...,Hard
到达,dào dá,to reach; to arrive,...,Hard
道德,dào dé,virtue; morality; ethics; moral; CL:种[zhong3],...,Hard
道理,dào lǐ,reason; argument; sense; principle; basis; justification; CL:个,...,Hard
登记,dēng jì,to register (one's name); to check in; enter one's name,...,Hard
等待,děng dài,wait for; await,...,Hard
等于,děng yú,to equal; to be tantamount to,...,Hard
滴,dī,a drop; to drip,...,Hard
敌人,dí rén,enemy; foe; CL:个,...,Hard
的确,dí què,really; indeed,...,Hard
地道,dì dao,real; pure; genuine; typical; well-done; thorough,...,Hard
地理,dì lǐ,geography,...,Hard
地区,dì qū,"regional; local; district (not necessarily formal administrative unit); region; area; as suffix to city name, means prefecture or county (area administered by a prefecture level city or county level city); CL:个",...,Hard
地毯,dì tǎn,carpet; rug,...,Hard
地位,dì wèi,position; status; place; CL:个,...,Hard
地震,dì zhèn,earthquake,...,Hard
递,dì,to hand over; to pass on sth; to gradually increase or decrease; progressively,...,Hard
点心,diǎn xin,pastry; dimsum (in Cantonese cooking); dessert; light refreshments,...,Hard
电池,diàn chí,"battery; CL:节[jie2] ,组[zu3]",...,Hard
电台,diàn tái,transmitter-receiver; broadcasting station; radio station; CL:个,...,Hard
钓,diào,to fish with a hook and bait,...,Hard
顶,dǐng,"apex; crown of the head; top; roof; to carry on the head; to push to the top; to go against; most; to replace; to substitute; classifier for headwear, hats, veils etc; to agree or support (internet slang, similar to digg)",旧社会里，有的有钱人的房子屋顶很高。,Hard
冻,dòng,to freeze; to feel very cold; aspic or jelly,...,Hard
动画片,dòng huà piān,cartoon; animation,...,Hard
洞,dòng,cave; hole; zero (unambiguous spoken form when spelling out numbers); CL:个,...,Hard
豆腐,dòu fu,tofu; bean curd,...,Hard
逗,dòu,to tease; to play with,...,Hard
独立,dú lì,independent; independence; to stand alone,...,Hard
独特,dú tè,distinct; unique; having special characteristics,...,Hard
度过,dù guò,to spend; to pass: to get through; to survive,...,Hard
断,duàn,"to break; to snap; to cut off; to give up or abstain from sth; to judge; (usu. used in the negative) absolutely, definitely,decidedly",这几个月来，顾客的数量在不断增加。,Hard
堆,duī,to pile up; to heap up; pile (of things); a mass; heap; stack,...,Hard
兑换,duì huàn,to convert; to exchange,...,Hard
对比,duì bǐ,contrast; ratio; CL:个,...,Hard
对待,duì dài,to treat; treatment,...,Hard
对方,duì fāng,counterpart; other person involved; opposite side; other side; receiving party,...,Hard
对手,duì shǒu,opponent; adversary; rival; competitor,...,Hard
对象,duì xiàng,target; object; partner; boyfriend; girlfriend; CL:个,...,Hard
吨,dūn,ton,...,Hard
蹲,dūn,to crouch; to squat,...,Hard
顿,dùn,"to pause; to stop; to lay out; to kowtow; to stamp; at once; classifier for meals, beating, tellings off etc: time, bout, spell, meal",...,Hard
多亏,duō kuī,thanks to; luckily,...,Hard
多余,duō yú,superfluous; unnecessary; surplus,...,Hard
朵,duǒ,earlobe,...,Hard
躲藏,duǒ cáng,to conceal oneself; to hide oneself; to take cover,...,Hard
恶劣,è liè,vile; nasty; of very poor quality,...,Hard
耳环,ěr huán,"earring; CL:只[zhi1] ,对[dui4]",...,Hard
发表,fā biǎo,to publish; to issue; to put out; to issue (a statement); ,...,Hard
发愁,fā chóu,to worry; to fret; to be anxious; to become sad,...,Hard
发达,fā dá,developed (country etc); flourishing; to develop,...,Hard
发抖,fā dǒu,to tremble; to shake; to shiver; to shudder; tremulous,...,Hard
发挥,fā huī,to display; to exhibit; to bring out implicit or innate qualities; to express (a thought or moral); to develop (an idea); to elaborate (on a theme),...,Hard
发明,fā míng,to invent; invention; CL:个,...,Hard
发票,fā piào,invoice; receipt or bill for purchase,...,Hard
发言,fā yán,to make a speech; statement; utterance,...,Hard
罚款,fá kuǎn,(impose a) fine; penalty; fine (monetary),...,Hard
法院,fǎ yuàn,court of law; court,...,Hard
翻,fān,to turn over; to flip over; to overturn; to rummage through; to translate; to decode,请打开书，翻到 201页。,Hard
繁荣,fán róng,prosperous; booming (economy),...,Hard
反而,fǎn ér,instead; on the contrary; contrary (to expectations),...,Hard
反复,fǎn fù,repeatedly; over and over,...,Hard
反应,fǎn yìng,to react; to respond; reaction; response; reply; chemical reaction; CL:个,...,Hard
反映,fǎn yìng,"to mirror; to reflect; mirror image; reflection; fig. to report; to make known; to render; used erroneously for 反应, response or reaction",...,Hard
反正,fǎn zhèng,to put things back in order; to return to the correct path; in any event; come what may; whatever happens (I'm still sure it's right); anyway,...,Hard
范围,fàn wéi,limit; range; scope; extent; CL:个,...,Hard
方,fāng,"square; power or involution (mathematics); upright; honest; fair and square; direction; side; party (to a contract, dispute etc); place; method; prescription (medicine); upright or honest; just when; only or just; classifier for square things; abbr. for square or cubic meter",冬天，北方比南方冷多了。,Hard
方案,fāng àn,plan (for action); program (for action etc); proposal; proposed bill; CL:个,...,Hard
方式,fāng shì,way (of life); pattern; style; mode; manner; CL:个,...,Hard
妨碍,fáng ài,to hinder; to obstruct,...,Hard
仿佛,fǎng fú,to seem; as if; alike; similar,...,Hard
非,fēi,non-; not-; un-; abbr. for Africa 非洲; wrong; evil-doing; insist on; simply must,这个消息非常令人吃惊。,Hard
肥皂,féi zào,"soap; CL:块[kuai4] ,条[tiao2]",...,Hard
废话,fèi huà,nonsense; rubbish; superfluous words; You don't say!; No kidding! (gently sarcastic),...,Hard
分别,fēn bié,to part or leave each other; to distinguish; difference; in different ways; differently; separately or individually,...,Hard
分布,fēn bù,distributed; to distribute,...,Hard
分配,fēn pèi,to assign; to allocate; to distribute,...,Hard
分手,fēn shǒu,to part company; to split up; to break up,...,Hard
分析,fēn xī,to analyze; analysis; CL:个,...,Hard
纷纷,fēn fēn,one after another; in succession; one by one; continuously; diverse; in profusion; numerous and confused; pell-mell,...,Hard
奋斗,fèn dòu,to strive; to struggle; to fight: struggle,...,Hard
疯狂,fēng kuáng,crazy; frantic; madness; extreme popularity,...,Hard
风格,fēng gé,style; maneer; mode,...,Hard
风景,fēng jǐng,scenery; landscape; CL:个,...,Hard
风俗,fēng sú,social custom; CL:个,...,Hard
风险,fēng xiǎn,risk; venture; hazard,...,Hard
讽刺,fěng cì,to satirize; to mock; irony; satire; sarcasm,...,Hard
否定,fǒu dìng,to negate; negative (answer); CL:个,...,Hard
否认,fǒu rèn,to deny; to declare to be untrue,...,Hard
幅,fú,width; roll; classifier for textiles or pictures,...,Hard
扶,fú,to support with hand; to help sb up; to help,...,Hard
服装,fú zhuāng,clothing; dress; costume; clothes; CL:身[shen1],...,Hard
辅导,fǔ dǎo,to coach; to tutor; to give advice (in study),...,Hard
复制,fù zhì,to duplicate; to make a copy of; to copy; to reproduce; to clone,...,Hard
妇女,fù nv3,woman,...,Hard
改革,gǎi gé,to reform; reform; CL:个,...,Hard
改进,gǎi jìn,to improve; to make better; CL:个,...,Hard
改善,gǎi shàn,to make better; to improve; CL:个,...,Hard
改正,gǎi zhèng,to correct; to amend; to put right; correction; CL:个,...,Hard
概括,gài kuò,to summarize; to generalize; briefly; CL:个,...,Hard
概念,gài niàn,concept; idea; CL:个,...,Hard
盖,gài,lid; to cover; canopy; to build,...,Hard
干脆,gān cuì,straightforward; clear-cut; blunt (e.g. statement); you might as well; simply,...,Hard
干燥,gān zào,"to dry (of weather, paint, cement etc); desiccation; dull; uninteresting; arid",...,Hard
感激,gǎn jī,to express thanks; grateful; moved to gratitude,...,Hard
感受,gǎn shòu,to sense; perception; to feel (through the senses); a feeling; an impression; an experience,...,Hard
感想,gǎn xiǎng,"impressions; reflections; thoughts; CL:通[tong4] ,个",...,Hard
赶紧,gǎn jǐn,to hurry up; hurriedly,...,Hard
赶快,gǎn kuài,immediately; at once; ,...,Hard
干活儿,gàn huó r,to work manually; manual labor,...,Hard
钢铁,gāng tiě,steel; strong; firm; staunch,...,Hard
高档,gāo dàng,superior quality; high grade; top grade,...,Hard
高级,gāo jí,high level; high grade; advanced; high-ranking,这是一家很高级的饭店。,Hard
搞,gǎo,to do; to make; to go in for; to set up; to get hold of; to take care of,...,Hard
告别,gào bié,to leave; to bid farewell to; to say good-bye to,...,Hard
格外,gé wài,especially; particularly,...,Hard
隔壁,gé bì,next door; neighbor,...,Hard
个别,gè bié,individual; specific; respective; just one or two,...,Hard
个人,gè rén,individual; personal; oneself,我们四个人去看电影。,Hard
个性,gè xìng,individuality; personality,...,Hard
各自,gè zì,each; respective; apiece,...,Hard
根,gēn,"root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; CL:条[tiao2]; radical (chemistry)",...,Hard
根本,gēn běn,fundamental; basic; root; simply; absolutely (not); (not) at all; CL:个,...,Hard
公布,gōng bù,to announce; to make public; to publish,...,Hard
公开,gōng kāi,public; to publish; to make public,...,Hard
公平,gōng píng,fair; impartial,...,Hard
公寓,gōng yù,apartment building; block of flats; CL:套[tao4],...,Hard
公元,gōng yuán,(year) AD; Christian era,...,Hard
公主,gōng zhǔ,princess,...,Hard
功能,gōng néng,function; capability,...,Hard
工厂,gōng chǎng,"factory; plant; CL:家[jia1] ,座[zuo4]",...,Hard
工程师,gōng chéng shī,"engineer; CL:个,位[wei4] ,名[ming2]",...,Hard
工具,gōng jù,tool; instrument; utensil; means (to achieve a goal etc),语言是表达思想的工具。,Hard
工人,gōng rén,"worker; CL:个,名[ming2]",...,Hard
工业,gōng yè,industry; CL:种[zhong3],...,Hard
恭喜,gōng xǐ ,congratulations; greetings; ,...,Hard
贡献,gòng xiàn,to contribute; to dedicate; to devote; contribution; CL:个,...,Hard
沟通,gōu tōng,communicate,...,Hard
构成,gòu chéng,to constitute; to form; to compose; to make up; to configure (computing),...,Hard
姑姑,gū gu,paternal aunt; CL:个,...,Hard
姑娘,gū niang,young woman; young lady; girl; daughter; CL:个,...,Hard
古代,gǔ dài,ancient times; olden times,...,Hard
古典,gǔ diǎn,classical,...,Hard
股票,gǔ piào,share; stock (market),...,Hard
骨头,gǔ tou,"bone; strong character; CL:根[gen1] ,块[kuai4]",...,Hard
鼓舞,gǔ wǔ,heartening (news); boost (morale); CL:个,...,Hard
鼓掌,gǔ zhǎng,to applaud; to clap,...,Hard
固定,gù dìng,fixed; set; regular,...,Hard
挂号,guà hào,to register (at a hospital); to send by registered mail,...,Hard
乖,guāi,well-behaved; (of a child) obedient; clever; shrewd; alert; perverse; contrary to reason; irregular; abnormal,...,Hard
拐弯,guǎi wān,to go round a curve; to turn a corner; fig. a new direction,...,Hard
怪不得,guài bu de,lit. you can't blame it!; no wonder!; so that's why!,...,Hard
关闭,guān bì,to close; to shut,...,Hard
官,guān,official; government; organ of body; CL:个,...,Hard
观察,guān chá,to observe; to watch; to survey; to examine; observation; view; perspective; CL:个,...,Hard
观点,guān diǎn,point of view; viewpoint; standpoint; CL:个,...,Hard
观念,guān niàn,thought; notion; concept; sense; views; ideology; general impressions,...,Hard
管子,guǎn zǐ,tube; pipe; drinking straw; CL:根[gen1],...,Hard
冠军,guàn jūn,champion; CL:个,...,Hard
光滑,guāng hua,glossy; sleek; smooth,...,Hard
光临,guāng lín,(honorific) Welcome!; You honor us with your presence.; It is an honor to have you.,...,Hard
光明,guāng míng,illumination; light; radiance (esp. glory of Buddha etc); fig. bright prospect; openhearted,...,Hard
光盘,guāng pán,"compact disc; CD or DVD; CD ROM; CL:片[pian4] ,张[zhang1]",...,Hard
广场,guǎng chǎng,a public square (e.g. Tiananmen Square); plaza; CL:个,...,Hard
广大,guǎng dà,(of an area) vast or extensive; large-scale; widespread; (of people) numerous,...,Hard
广泛,guǎng fàn,extensive; wide range,...,Hard
归纳,guī nà,to sum up; to summarize; to conclude from facts; induction (method of deduction in logic),...,Hard
规矩,guī ju,established practice; rule; customs; practices; fig. upright and honest; well-behaved; lit. compass and set square,...,Hard
规律,guī lv4,rule (e.g. of science); law of behavior; regular pattern; rhythm; discipline,...,Hard
规模,guī mó,scale; scope; extent; CL:个,...,Hard
规则,guī zé,regulation; rule; rules and regulations,...,Hard
柜台,guì tái,sales counter; front desk; bar,...,Hard
滚,gǔn,to roll; to get away; to boil; get lost (imperative); take a hike,...,Hard
锅,guō,"pan; pot; boiler; CL:口[kou3] ,只[zhi1]",...,Hard
国庆节,guó qìng jié,PRC National Day (October 1st),...,Hard
国王,guó wáng ,king; CL:個|个[ge4]; ,...,Hard
果然,guǒ rán,sure enough; as expected; really,...,Hard
果实,guǒ shí,fruit (from work); results; gains,...,Hard
过分,guò fèn,excessive; undue; overly,...,Hard
过敏,guò mǐn,to be allergic; allergy,...,Hard
过期,guò qī,to be overdue; to exceed the time limit; to expire (as in expiration date),...,Hard
哈,hā,laughter; yawn; abbr. for Kazakhstan,...,Hard
海关,hǎi guān,customs (i.e. border crossing inspection); CL:个,...,Hard
海鲜,hǎi xiān,seafood,...,Hard
喊,hǎn,to yell; to call; to cry; to shout,...,Hard
行业,háng yè,industry; business,...,Hard
豪华,háo huá,luxurious,...,Hard
好客,hào kè,hospitality; to treat guests well; to enjoy having guests; hospitable; friendly,...,Hard
好奇,hào qí,inquisitive; curious,...,Hard
何必,hé bì,there is no need; why should,...,Hard
何况,hé kuàng,much less; let alone,...,Hard
合法,hé fǎ,lawful; legitimate; legal,...,Hard
合理,hé lǐ,rational; reasonable; fair,...,Hard
合同,hé tong,(business) contract; CL:个,...,Hard
合影,hé yǐng,joint photo; group photo,...,Hard
合作,hé zuò,to cooperate; to collaborate; to work together; cooperation; CL:个,...,Hard
和平,hé píng,peace,...,Hard
