hanzi,pinyin,definition,example_sentence,difficulty
菜单,cài dān,"menu; CL:份[fen4] ,张[zhang1]",服务员，请帮我拿一下菜单。,Medium
参加,cān jiā,to participate; to take part; to join,我希望有机会参加比赛。,Medium
草,cǎo,"grass; straw; manuscript; draft (of a document); careless; rough; CL:棵[ke1] ,撮[zuo3] ,株[zhu1] ,根[gen1]",春天来了，小草绿了。,Medium
层,céng,layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.),我住在三层，306。,Medium
差,chà,differ from; short of; to lack; poor,现在是差5 分 12 点。,Medium
超市,chāo shì,supermarket (abbr.); CL:家[jia1],我去超市买点儿菜。,Medium
衬衫,chèn shān,shirt; blouse; CL:件[jian4],今天我穿这件衬衫。,Medium
城市,chéng shì,city; town; CL:座[zuo4],我已经喜欢上了这个城市。,Medium
成绩,chéng jì,"achievement; performance records; grades; CL:项[xiang4] ,个",你数学成绩提高了不少。,Medium
迟到,chí dào,to arrive late,对不起，我今天又迟到了。,Medium
除了,chú le,besides; apart from (... also...); in addition to; except (for),除了不吃肉，我还不吃鸡蛋。,Medium
船,chuán,"a boat; vessel; ship; CL:条[tiao2] ,艘[sou1] ,只[zhi1]",坐船旅游。,Medium
春,chūn,spring (time); gay; joyful; youthful; love; lust; life,春天来了，小草绿了。,Medium
词典,cí diǎn,"dictionary (of Chinese compound words); CL:部[bu4] ,本[ben3]",这本词典对我的学习很有帮助。,Medium
聪明,cōng ming,acute (of sight and hearing); clever; intelligent; bright; smart,...,Medium
打扫,dǎ sǎo,to clean; to sweep,我用了两个小时打扫房间。,Medium
打算,dǎ suàn,to plan; to intend; to calculate; plan; intention; calculation; CL:个,我还没有结婚的打算。,Medium
带,dài,band; belt; girdle; ribbon; tire; area; zone; region; to wear; to carry; to lead; to bring; to look after; to raise; CL:条[tiao2]; ,坏了，我忘记带护照了。,Medium
担心,dān xīn,anxious; worried; uneasy; to worry; to be anxious,爷爷住院了，我很担心。,Medium
蛋糕,dàn gāo,"cake; CL:块[kuai4] ,个",你饿了吗？先吃块蛋糕吧。,Medium
当然,dāng rán,of course; without doubt; only natural; as it should be; certainly; ,你生病了，我当然要来看看你。,Medium
地(助词),de,"-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; ",...,Medium
灯,dēng,lamp; light; lantern; CL:盏[zhan3],...,Medium
地方,dì fang,region; regional (away from the central administration),我过去在北京，没去其他地方。,Medium
地铁,dì tiě,subway; metro,我坐地铁去上班很方便。,Medium
地图,dì tú,"map; CL:张[zhang1] ,本[ben3]",我的手机上有电子地图。,Medium
电梯,diàn tī,"elevator; CL:台[tai2] ,部[bu4]",我们坐电梯上楼。,Medium
电子邮件,diàn zǐ yóu jiàn,electronic mail; email; CL:封[feng1],你给我发电子邮件了吗？,Medium
东,dōng,east; host (i.e. sitting on east side of guest); landlord; surname Dong,学过的东西，要多练习才能记住。,Medium
冬,dōng,winter,北方的冬天很冷。,Medium
动物,dòng wù,"animal; CL:只[zhi1] ,群[qun2] ,个",我特别喜欢到动物园去看大熊猫。,Medium
短,duǎn,short or brief; to lack; weak point; fault,这条裤子有点儿短。,Medium
段,duàn,"paragraph; section; segment; stage (of a process); classifier for stories, periods of time, lengths of thread etc",这段时间我很忙。,Medium
锻炼,duàn liàn,to engage in physical exercise; to toughen; to temper,我每天早上都去锻炼身体。,Medium
多么,duō me,how (wonderful etc); what (a great idea etc); however (difficult it may be etc),阿姨，这儿的环境多么好啊！,Medium
饿,è a,to be hungry; hungry,我饿了，想吃点东西。,Medium
耳朵,ěr duo,"ear; CL:只[zhi1] ,个,对[dui4]",我的耳朵有点疼，要去医院看看。,Medium
发,fā,to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds),我晚上再给你发个电子邮件。,Medium
发烧,fā shāo,have a high temperature (from illness); have a fever,我身体不舒服，发烧了。,Medium
发现,fā xiàn,to find; to discover,我发现他瘦了很多。,Medium
方便,fāng biàn,convenient; to help out; to make things easy for people; convenience; suitable; having money to spare; (euphemism) to go to the toilet,我坐地铁去上班很方便。,Medium
放,fàng,to release; to free; to let go; to put; to place; to let out; to set off (fireworks),请放心，我会把事情办好的。,Medium
放心,fàng xīn,to set one's mind at rest; to be at ease; to rest,请放心，我会把事情办好的。,Medium
分,fēn,to divide; to separate; to allocate; to distinguish (good and bad); part or subdivision; fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute; a point (in sports or games); 0.01 yuan (unit of money),这个苹果被分成了两块儿。,Medium
复习,fù xí,to revise; to review; revision; CL:次[ci4],考试前要好好地复习。,Medium
附近,fù jìn,(in the) vicinity; nearby; neighboring; next to,他家就住在公司附近。,Medium
干净,gān jìng,neat and tidy; clean,我把衣服洗干净了。,Medium
感冒,gǎn mào,to catch cold; (common) cold; CL:次[ci4],我感冒了，要吃点儿药。,Medium
感兴趣,gǎn xìng qù ,to be interested; ,我对中国文化很感兴趣。,Medium
刚才,gāng cái,just now; a moment ago,刚才是谁来的电话？,Medium
个子,gè zi,height; stature; build; size,哥哥比我个子高。,Medium
根据,gēn jù,according to; based on; basis; foundation; CL:个,他这么说，是有根据的。,Medium
跟,gēn,with (someone); towards; as (compared to); and (in addition to); heel; to follow closely; to go with; to marry sb (of woman),我特别想跟你一起去。,Medium
更,gèng,more; still more; even more,他比我更喜欢游泳。,Medium
公斤,gōng jīn,kilogram (kg),姐姐现在很瘦，只有 45 公斤。,Medium
公园,gōng yuán,public park; CL:场[chang3],姐姐跟妈妈一起去公园了。,Medium
故事,gù shi,story; tale; narrative,睡觉前，我都给女儿讲故事。,Medium
刮风,guā fēng,to be windy,今天刮风了，别骑自行车了。,Medium
关,guān,to close; to shut; to turn off; mountain pass; to concern; to involve,这件事，跟我没关系。,Medium
关系,guān xì,relationship (network); relation; to concern; to affect; to have to do with; guanxi; CL:个,我跟邻居们的关系非常好。,Medium
关心,guān xīn,to care for sth; caring; concerned,谢谢你的关心，我的身体好多了。,Medium
关于,guān yú,pertaining to; concerning; regarding; with regards to; about; a matter of,关于这个问题，我们还要再想一想。,Medium
国家,guó jiā,country; nation; state; CL:个,世界上有很多国家。,Medium
过(动词),guò,to cross; to go over; to pass (time); to get along,...,Medium
过去,guò qu,(in the) past; former; previous; to go over; to pass by,我过去在北京，没去其他地方。,Medium
还是,hái shì,or; still; nevertheless,我还是孩子。,Medium
害怕,hài pà,to be afraid; to be scared,...,Medium
黑板,hēi bǎn,"blackboard; CL:块[kuai4] ,个",请大家看黑板。,Medium
后来,hòu lái,afterwards; later,后来我再也没见过他。,Medium
护照,hù zhào,"passport; CL:本[ben3] ,个",你的护照办好了吗？,Medium
花(动词),huā,"to blossom; to spend (money, time)",...,Medium
花(名词),huā,flower; blossoms; bloom: pattern: design,...,Medium
画,huà,"to draw; picture; painting; CL:幅[fu2] ,张[zhang1]",我从小就喜欢画画儿。,Medium
坏,huài,bad; spoiled; broken; to break down,面包很新鲜，没有坏。,Medium
欢迎,huān yíng,to welcome; welcome,我们热情地欢迎客人。,Medium
环境,huán jìng,environment; circumstances; surroundings; ambient; CL:个,这里的环境很不错，在这里住很舒服。,Medium
还(动词),huán,to come back; to give back; to return; to pay back,...,Medium
换,huàn,change; exchange,我去银行换点儿钱。,Medium
黄河,huáng hé ,Yellow River,黄河是中国的第二大河。,Medium
回答,huí dá,to reply; to answer; the answer; CL:个,回答错了。,Medium
会议,huì yì,"meeting; conference; CL:场[chang3] ,届[jie4]",明天的会议，请大家一定要参加。,Medium
或者,huò zhě,or; possibly; maybe; perhaps,你去，或者我去，都可以。,Medium
几乎,jī hū,almost; nearly; practically,...,Medium
机会,jī huì,opportunity; chance; occasion; CL:个,我希望有机会参加比赛。,Medium
极,jí,"extremely; pole (geography, physics); utmost; top",今天的节目好看极了。,Medium
季节,jì jié,time; season; period; CL:个,一年有四个季节。,Medium
记得,jì de,to remember,我不记得他住在哪儿了。,Medium
检查,jiǎn chá,inspection; to examine; to inspect; CL:次[ci4],你去医院检查一下身体吧。,Medium
简单,jiǎn dān,simple; not complicated,这些题对他来说很简单。,Medium
健康,jiàn kāng,health; healthy,为了身体健康，我每天都去运动。,Medium
见面,jiàn miàn,to meet; to see sb; CL:次[ci4],上次和他见面，已经是去年了。,Medium
讲,jiǎng,to explain; to speak; to negotiate; to emphasise; to be particular about; as far as sth is concerned; speech; lecture,睡觉前，我都给女儿讲故事。,Medium
教,jiào,to teach,只有小明在教室里，其他人都回家了。,Medium
脚,jiǎo,"foot; leg; base; kick; CL:双[shuang1] ,只[zhi1]",妹妹脚上穿着漂亮的红皮鞋。,Medium
角,jiǎo,horn; angle; corner ; horn-shaped; unit of money equal to 0.10 yuan; CL:个,桌子上有五角钱。,Medium
接,jiē,to receive; to answer (the phone); to meet or welcome sb; to connect; to catch; to join; to extend; to take one's turn on duty; take over for sb,下午我去机场接你。,Medium
街道,jiē dào,street; CL:条[tiao2],这条街道很长，有四千多米。,Medium
结婚,jié hūn,to marry; to get married; CL:次[ci4],我们结婚10 年了。,Medium
结束,jié shù,to finish; to end; to conclude; to close; termination,会议马上就要结束了。,Medium
节目,jié mù,"program; item (on a program); CL:台[tai2] ,个,套[tao4]",她最喜欢看音乐节目。,Medium
节日,jié rì,holiday; festival; CL:个,...,Medium
解决,jiě jué,to settle (a dispute); to resolve; to solve,只有你能解决这个问题。,Medium
借,jiè,to lend; to borrow; excuse; pretext; by means of; to seize (an opportunity); to take (an opportunity),我从图书馆借了三本书。,Medium
经常,jīng cháng,day to day; everyday; daily; frequently; constantly; regularly; often,我们经常在网上聊天。,Medium
经过,jīng guò,to pass; to go through; process; course; CL:个,上下班的时候，我都要经过这条街道。,Medium
经理,jīng lǐ,"manager; director; CL:个,位[wei4] ,名[ming2]",他是我们公司的经理。,Medium
久,jiǔ,(long) time; (long) duration of time,这个问题我想了很久才明白。,Medium
旧,jiù,old; opposite: new 新; former; worn (with age),这件衣服穿了两年，已经旧了。,Medium
句子,jù zi,sentence; CL:个,...,Medium
决定,jué dìng,"to decide (to do something); to resolve; decision; certainly; CL:个,项[xiang4]",我们决定明天去爬山。,Medium
可爱,kě ài,amiable; cute; lovely,你的儿子真可爱。,Medium
渴,kě,thirsty,我渴了，想喝点儿水。,Medium
刻,kè,quarter (hour); moment; to carve; to engrave; to cut; oppressive; classifier for short time intervals,现在是三点一刻。,Medium
客人,kè rén,visitor; guest; customer; client; CL:位[wei4],我们热情地欢迎客人。,Medium
空调,kōng tiáo,air conditioning,我们家一共三空调人。,Medium
口,kǒu,"mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc)",想学好外语，要多开口说。,Medium
哭,kū,to cry; to weep,孩子又哭了起来。,Medium
裤子,kù zi,trousers; pants; CL:条[tiao2],这条裤子有点儿长。,Medium
筷子,kuài zi,"chopsticks; CL:对[dui4] ,根[gen1] ,把[ba3] ,双[shuang1]",...,Medium
蓝,lán,blue; indigo plant,这条蓝裙子你喜欢吗？,Medium
老,lǎo,old (of people); venerable (person); prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough,爷爷六十岁了，但是看起来一点儿也不老。,Medium
离开,lí kāi,to depart; to leave,他要离开了，我很难过。,Medium
礼物,lǐ wù,"gift; present; CL:件[jian4] ,个,份[fen4]",奶奶非常喜欢我们送的礼物。,Medium
历史,lì shǐ,"History; CL:门[men2] ,段[duan4]",...,Medium
脸,liǎn,"face; CL:张[zhang1] ,个",我从他的脸上，没看出他难过来。,Medium
练习,liàn xí,exercise; drill; practice; CL:个,同学们，下面我们开始做练习。,Medium
辆,liàng,classifier for vehicles,这辆汽车上有 23 个座位。,Medium
聊天,liáo tiān,to chat; to gossip,我们经常在网上聊天。,Medium
了解,liǎo jiě,to understand; to realize; to find out,我对她了解得不多。,Medium
邻居,lín jū,neighbor; next door; CL:个,我跟邻居们的关系非常好。,Medium
留学,liú xué,to study abroad,我哥哥在中国留学。,Medium
楼,lóu,"house with more than 1 story; storied building; floor; CL:层[ceng2] ,座[zuo4] ,栋[dong4]",我们坐电梯上楼。,Medium
绿,lv4,green,春天来了，小草绿了。,Medium
马,mǎ,"horse; abbr. for Malaysia,CL:匹",我们学会骑马了。,Medium
马上,mǎ shàng,right away; at once; immediately; lit. on horseback,会议马上就要结束了。,Medium
满意,mǎn yì,satisfied; pleased; to one's satisfaction,你的回答不能让人满意。,Medium
帽子,mào zi,hat; cap; CL:顶[ding3],这个帽子太小了，有大一点儿的吗？,Medium
米,mǐ,rice; meter (classifier); CL:粒[li4],这张桌子有两米长。,Medium
面包,miàn bāo,"bread; CL:片[pian4] ,袋[dai4] ,块[kuai4]",面包很新鲜，没有坏。,Medium
明白,míng bai,to understand (clearly); to realize; clear; obvious; unequivocal; ,这个问题我想了很久才明白。,Medium
拿,ná,to hold; to seize; to catch; to apprehend; to take,你手里拿的是什么？,Medium
奶奶,nǎi nai,(informal) father's mother; paternal grandmother; CL:位[wei4],我奶奶住在北京。,Medium
南,nán,south,我家在火车站的南边。,Medium
难,nán,difficult (to...); problem; difficulty; difficult; not good,这个题很难。,Medium
难过,nán guò,feel sorry; be grieved,我从他的脸上，没看出他难过来。,Medium
年级,nián jí,grade; CL:个,我儿子现在上三年级。,Medium
年轻,nián qīng,young,...,Medium
鸟,niǎo,"bird; CL:只[zhi1] ,群[qun2]",树上有很多鸟在唱歌。,Medium
努力,nǔ lì,great effort; to strive; to try hard,学生们学习很努力。,Medium
爬山,pá shān,to climb a mountain; to mountaineer; hiking; mountaineering,我们决定明天去爬山。,Medium
盘子,pán zi,plate; tray; dish,盘子里有鱼，请吃吧。,Medium
胖,pàng,fat; plump,这个月我胖了五斤多。,Medium
啤酒,pí jiǔ,"beer; CL:杯[bei1] ,瓶[ping2] ,罐[guan4] ,桶[tong3] ,缸[gang1]",你还是吃点儿水果吧，别喝啤酒了。,Medium
皮鞋,pí xié,leather shoes,他穿着一双黑色的皮鞋。,Medium
瓶子,píng zi,bottle; CL:个,瓶子里还有水吗？,Medium
其实,qí shí,actually; in fact; really,我其实不太了解他。,Medium
其他,qí tā,other; the others; else; other than (that person); in addition to the person mentioned above,我过去在北京，没去其他地方。,Medium
奇怪,qí guài,strange; odd,我觉得这个问题很奇怪。,Medium
骑,qí,to ride (an animal or bike); to sit astride,今天我骑自行车去学校。,Medium
起飞,qǐ fēi,to take off (in an airplane),...,Medium
起来,qǐ lái,beginning or continuing an action; upward movement; stand up,他突然站了起来。,Medium
清楚,qīng chu,（be) clear (about); clearly understood; clear; distinct,你清楚这句话的意思吗？,Medium
请假,qǐng jià,ask for time off,...,Medium
秋,qiū,autumn; fall; harvest time; a swing; surname Qiu,秋天最舒服，不冷也不热。,Medium
裙子,qún zi,skirt; CL:条[tiao2],姐姐穿着漂亮的裙子。,Medium
然后,rán hòu,then (afterwards); after that; afterwards; after,我要先写完作业，然后再看电视。,Medium
热情,rè qíng,cordial; enthusiastic; passion; passionate; passionately,我们热情地欢迎客人。,Medium
认为,rèn wéi,to believe; to think; to consider; to feel,你认为他会来吗？,Medium
认真,rèn zhēn,conscientious; earnest; serious; to take seriously; to take to heart,这个同学学习很认真，很努力。,Medium
容易,róng yì,easy; likely; liable (to),这个问题很容易回答。,Medium
如果,rú guǒ,if; in case; in the event that,如果你去，我就和你一起去。,Medium
伞,sǎn,umbrella; parasol; CL:把[ba3],下雨了，别忘了带伞。,Medium
上网,shàng wǎng,to be on the internet; to stretch a net (in a sports game or for covering sth); to be netted (of fish),我上网去看看新闻。,Medium
声音,shēng yīn,voice; sound; CL:个,你听，这是什么声音？,Medium
生气,shēng qì,angry; mad; offended; animated; to get angry; to be enraged; to take offense; animation,请别生气，是我错了，对不起。,Medium
世界,shì jiè,world; CL:个,世界上有很多国家。,Medium
试,shì,to test; to try; experiment; examination; test,为了准备考试，他每天都学习到很晚。,Medium
瘦,shòu,tight; thin; lean,我发现他瘦了很多。,Medium
叔叔,shū shu,father's younger brother; uncle; CL:个,叔叔，你喜欢这本书吗？,Medium
舒服,shū fu,comfortable; feeling well,坐在这里，真舒服。,Medium
数学,shù xué,mathematics; mathematical,你数学成绩提高了不少。,Medium
树,shù,tree; CL:棵[ke1],树上有很多鸟在唱歌。,Medium
刷牙,shuā yá,to brush teeth,睡觉前要刷牙。,Medium
双,shuāng,pair; double; two; both,他穿着一双黑色的皮鞋。,Medium
水平,shuǐ píng,level (of achievement etc); standard; horizontal,他的汉语已经有一定水平了。,Medium
司机,sī jī,chauffeur; driver; CL:个,这位司机开出租车 5 年多了。,Medium
太阳,tài yáng,sun; CL:个,你看，太阳出来了。,Medium
特别,tè bié,especially; special; particular; unusual,我特别想跟你一起去。,Medium
疼,téng,(it) hurts; love fondly; ache; pain; sore,你的腿还疼吗？,Medium
提高,tí gāo,to raise; to increase,你数学成绩提高了不少。,Medium
体育,tǐ yù,sports; physical education,我很喜欢体育运动。,Medium
甜,tián,sweet,这个西瓜真甜啊！,Medium
条,tiáo,"strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc)",上下班的时候，我都要经过这条街道。,Medium
同事,tóng shì,"colleague; co-worker; CL:个,位[wei4]",...,Medium
同意,tóng yì,to agree; to consent; to approve,我不太同意他的想法。,Medium
头发,tóu fa,hair (on the head),姐姐的头发又黑又长。,Medium
突然,tū rán,sudden; abrupt; unexpected,他突然站了起来。,Medium
图书馆,tú shū guǎn,"library; CL:家[jia1] ,个",我从图书馆借来了两本书。,Medium
腿,tuǐ,leg; CL:条[tiao2],你的腿还疼吗？,Medium
完成,wán chéng,complete; accomplish; perfect tense (grammar),这件事，在周末前必须完成。,Medium
碗,wǎn,"bowl; cup; CL:只[zhi1] ,个",我吃一碗就可以了。,Medium
万,wàn,ten thousand; a great number,我们学校有一万名学生。,Medium
忘记,wàng jì,to forget,我忘记今天是他的生日了。,Medium
为,wèi,because of; for; to,别人都走了，为什么你还在这里？,Medium
为了,wèi le,in order to; for the purpose of; so as to,为了身体健康，我每天都去运动。,Medium
位,wèi,position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes),这位司机开出租车 5 年多了。,Medium
文化,wén huà,"culture; civilization; cultural; CL:个,种[zhong3]",我对中国文化很感兴趣。,Medium
西,xī,west,火车站在西边，你走错了。,Medium
习惯,xí guàn,habit; custom; usual practice; to be used to; CL:个,饭前洗手是好习惯。,Medium
洗手间,xǐ shǒu jiān,toilet; lavatory; washroom,我去一下洗手间。,Medium
洗澡,xǐ zǎo,to bathe; to take a shower,太热了，我先去洗澡。,Medium
夏,xià,summer,今年夏天你选择去哪儿旅游？,Medium
先,xiān,early; prior; former; in advance; first,你先去，我一个小时后再去。,Medium
相信,xiāng xìn,to believe; to be convinced (that something is true); to accept sth as true,...,Medium
香蕉,xiāng jiāo,"banana; CL:枝[zhi1] ,根[gen1] ,个,把[ba3]",你想吃香蕉吗？,Medium
像,xiàng,(look) like; similar (to); appearance; to appear; to seem; image; portrait; resemble; seem,他长得像他爸爸。,Medium
向,xiàng,direction; orientation; to face; to turn toward; to; towards; shortly before; formerly; to side with; to be partial to; all along (previously); surname Xiang,你向着门外走。,Medium
小心,xiǎo xīn,to be careful; to take care,请小心，路上有很多水。,Medium
校长,xiào zhǎng,"(college, university) president; headmaster; CL:个,位[wei4] ,名[ming2]",请问，校长办公室怎么走？,Medium
新闻,xīn wén,"news; CL:条[tiao2] ,个",我每天晚上七点都看新闻。,Medium
新鲜,xīn xiān,"fresh (experience, food etc); freshness",面包很新鲜，没有坏。,Medium
信用卡,xìn yòng kǎ,credit card,我想去银行办一张信用卡。,Medium
行李箱,xíng lǐ xiāng,suitcase,请把行李箱打开。,Medium
熊猫,xióng māo,panda; CL:只[zhi1],我特别喜欢到动物园去看大熊猫。,Medium
需要,xū yào,to need; to want; to demand; needs; to require,我们需要自己做出选择。,Medium
选择,xuǎn zé,to select; to pick; choice; option; alternative,我们需要自己做出选择。,Medium
要求,yāo qiú,to request; to require; to stake a claim; to ask; to demand; CL:点[dian3],这是爸爸对我的要求。,Medium
爷爷,yé ye,(informal) father's father; paternal grandfather; CL:个,爷爷住院了，我很担心。,Medium
一直,yī zhí,straight (in a straight line); continuously; always; from the beginning of... up to...; all along,我一直不明白这句话的意思。,Medium
一定,yí dìng,surely; certainly; necessarily; fixed; a certain (extent etc); given; particular; must,他的汉语已经有一定水平了。,Medium
一共,yī gòng,altogether,我们班一共有 20 名学生。,Medium
一会儿,yī huì er,a while,我们休息了一会儿，又开始工作了。,Medium
一样,yī yàng,same; like; equal to; the same as; just like,他跟爸爸长得一样。,Medium
以前,yǐ qián,before; formerly; previous; ago,我们看电影以前，先去吃个饭吧。,Medium
一般,yī bān,ordinary; common; general; generally; in general; same,我一般7 点钟起床。,Medium
一边,yī biān,one side; either side; on the one hand; on the other hand; doing while,他喜欢一边看书，一边听音乐。,Medium
音乐,yīn yuè,"music; CL:张[zhang1] ,曲[qu3] ,段[duan4]",她最喜欢看音乐节目。,Medium
银行,yín háng,"bank; CL:家[jia1] ,个",我想去银行办一张信用卡。,Medium
饮料,yǐn liào,(a) drink; beverage,冰箱里还有饮料吗？,Medium
应该,yīng gāi,ought to; should; must,8 点了，应该去上班了。,Medium
影响,yǐng xiǎng,influence; effect; to influence; to affect (usually adversely); to disturb; CL:股[gu3],环境对人有很大的影响。,Medium
用,yòng,to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore,我想去银行办一张信用卡。,Medium
游戏,yóu xì,game; play; CL:场[chang3],这是孩子们最喜欢玩儿的游戏。,Medium
有名,yǒu míng,famous; well-known,这本书很有名。,Medium
又,yòu,(once) again; also; both... and...; again,孩子又哭了起来。,Medium
遇到,yù dào,to meet; to run into; to come across,我经常在学校遇到他。,Medium
元,yuán,Yuan (RMB); first; primary; basic,这个手机一千元。,Medium
愿意,yuàn yì,to wish; to want; ready; willing (to do sth),他很愿意帮助别人。,Medium
月亮,yuè liang,moon,...,Medium
越,yuè,to exceed; to climb over; to surpass; the more... the more,他越说越高兴。,Medium
站,zhàn,station; to stand; to halt; to stop; branch of a company or organisation,我站在中间，旁边的是我的同学。,Medium
张,zhāng,"classifier for flat objects, sheet; sheet of paper; classifier for votes; to open up; to spread; ",刚才我在街上遇到了张先生。,Medium
长(动词),zhǎng,elder; senior; to grow; to develop; to come into being; to acquire; to enhance; to increase,...,Medium
着急,zháo jí,to worry; to feel anxious,遇到事情，不要着急。,Medium
照顾,zhào gu,to take care of; to show consideration; to attend to; to look after,我生病了，妈妈一直照顾我。,Medium
照片,zhào piàn,"photo; photograph; picture; CL:张[zhang1] ,套[tao4] ,幅[fu2]",这是我小时候的照片。,Medium
照相机,zhào xiàng jī,"camera; CL:个,架[jia4] ,部[bu4] ,台[tai2] ,只[zhi1]",我新买了一个照相机。,Medium
只(副词),zhǐ,only; just; merely,...,Medium
只(量词),zhǐ,single; one-only,...,Medium
只有…才…,zhǐ yǒu …cái …,only if… then…,...,Medium
中间,zhōng jiān,between; intermediate; mid; middle,我站在中间，旁边的是我的同学。,Medium
中文,zhōng wén,Chinese written language; Chinese writing; Chinese,...,Medium
终于,zhōng yú,at last; in the end; finally; eventually,经过你这么一说，我终于明白了。,Medium
种(量词),zhǒng,kind; sort; type,...,Medium
重要,zhòng yào,important; significant; major,我忘了一件重要的事情。,Medium
周末,zhōu mò,weekend,这件事，在周末前必须完成。,Medium
主要,zhǔ yào,main; principal; major; primary,这本书主要讲了些什么？,Medium
注意,zhù yì,to take note of; to pay attention to,...,Medium
自己,zì jǐ,self; (reflexive pronoun); own,下个月我要离开一段时间，你好好照顾自己。,Medium
自行车,zì xíng chē,bicycle; bike; CL:辆[liang4],今天刮风了，别骑自行车了。,Medium
总是,zǒng shì,always,他总是很早起床。,Medium
嘴,zuǐ,"mouth; beak; spout (of teapot etc); CL:张[zhang1] ,个",小女孩儿张开嘴，笑了。,Medium
最后,zuì hòu,final; last; finally; ultimate,...,Medium
最近,zuì jìn,recent; recently; these days; latest; soon; nearest (of locations); shortest (of routes),我最近很忙。,Medium
作业,zuò yè,school assignment; homework; work; task; operation; to operate; CL:个,今天的作业你写完了吗？,Medium
